size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
128,2,8,500,8192,0,0,cos,0.90593,9,80
128,2,32,500,8192,0,0,l2,0.91679,7,90
128,2,32,500,8192,0,0,cos,0.92367,7,90
64,2,32,500,8192,0,0,l2,0.92077,14,90
64,2,32,500,8192,0,0,cos,0.92481,14,90
128,2,10,500,8192,0,0,l2,0.91307,8,80
128,2,10,500,8192,0,0,cos,0.92112,8,80
128,2,1,500,8192,0,0,l2,0.90455,280,100
128,2,1,500,8192,0,0,cos,0.90255,231,100
64,2,1,500,8192,0,0,l2,0.90121,434,100
64,2,1,500,8192,0,0,cos,0.90409,381,100
128,2,27,500,8192,0,0,l2,0.90786,7,80
128,2,27,500,8192,0,0,cos,0.91341,7,80
128,2,2,500,8192,0,0,l2,0.90749,414,100
128,2,2,500,8192,0,0,cos,0.90329,449,100
64,2,2,500,8192,0,0,l2,0.89802,486,100
64,2,2,500,8192,0,0,cos,0.89795,486,100
128,2,32,500,8192,0,0,l2,0.90973,8,80
128,2,32,500,8192,0,0,cos,0.91912,7,80
128,2,5,500,8192,0,0,l2,0.90747,228,100
128,2,5,500,8192,0,0,cos,0.90811,228,100
64,2,5,500,8192,0,0,l2,0.91200,26,100
64,2,5,500,8192,0,0,cos,0.91312,25,100
128,2,8,500,8192,0,0,l2,0.91045,229,100
128,2,8,500,8192,0,0,cos,0.91231,229,100
64,2,8,500,8192,0,0,l2,0.90176,20,100
64,2,8,500,8192,0,0,cos,0.90124,105,100
128,2,10,500,8192,0,0,l2,0.91803,12,100
128,2,10,500,8192,0,0,cos,0.92364,11,100
64,2,10,500,8192,0,0,l2,0.89609,42,100
64,2,10,500,8192,0,0,cos,0.89812,470,100
128,2,27,500,8192,0,0,l2,0.90051,498,100
128,2,27,500,8192,0,0,cos,0.90378,327,100
64,2,27,500,8192,0,0,l2,0.89616,43,100
64,2,27,500,8192,0,0,cos,0.90240,11,100
64,2,32,500,8192,0,0,l2,0.90242,272,100
64,2,32,500,8192,0,0,cos,0.90334,272,100
128,2,32,500,8192,0,0,l2,0.90762,7,100
128,2,32,500,8192,0,0,cos,0.91508,7,100
64,3,1,500,8192,0,0,l2,0.90830,186,10
64,3,1,500,8192,0,0,cos,0.90839,186,10
64,3,2,500,8192,0,0,l2,0.91316,172,10
64,3,2,500,8192,0,0,cos,0.91175,152,10
64,3,5,500,8192,0,0,l2,0.92003,21,10
